Region,Technology,Fuel,Type,Unit,Year,Value
ZS,RES_Wind_Offshore_Deep,None,Levelized Costs [Generation],MEUR/PJ,2025,0.01
Dakar,RES_Wind_Offshore_Shallow,None,Levelized Costs [Generation],MEUR/PJ,2025,0.01
Thies,RES_Wind_Offshore_Shallow,None,Levelized Costs [Generation],MEUR/PJ,2025,0.01
LS,RES_Wind_Offshore_Shallow,None,Levelized Costs [Generation],MEUR/PJ,2025,0.01
FKK,RES_Wind_Offshore_Shallow,None,Levelized Costs [Generation],MEUR/PJ,2025,0.01
ZS,RES_Wind_Offshore_Shallow,None,Levelized Costs [Generation],MEUR/PJ,2025,0.01
Dakar,RES_Wind_Offshore_Transitional,None,Levelized Costs [Generation],MEUR/PJ,2025,0.01
Thies,RES_Wind_Offshore_Transitional,None,Levelized Costs [Generation],MEUR/PJ,2025,0.01
LS,RES_Wind_Offshore_Transitional,None,Levelized Costs [Generation],MEUR/PJ,2025,0.01
FKK,RES_Wind_Offshore_Transitional,None,Levelized Costs [Generation],MEUR/PJ,2025,0.01
ZS,RES_Wind_Offshore_Transitional,None,Levelized Costs [Generation],MEUR/PJ,2025,0.01
Dakar,RES_Wind_Onshore_Avg,None,Levelized Costs [Generation],MEUR/PJ,2025,0.01
Diourbel,RES_Wind_Onshore_Avg,None,Levelized Costs [Generation],MEUR/PJ,2025,0.01
Thies,RES_Wind_Onshore_Avg,None,Levelized Costs [Generation],MEUR/PJ,2025,0.01
LS,RES_Wind_Onshore_Avg,None,Levelized Costs [Generation],MEUR/PJ,2025,0.01
FKK,RES_Wind_Onshore_Avg,None,Levelized Costs [Generation],MEUR/PJ,2025,0.01
ZS,RES_Wind_Onshore_Avg,None,Levelized Costs [Generation],MEUR/PJ,2025,0.01
MTKK,RES_Wind_Onshore_Avg,None,Levelized Costs [Generation],MEUR/PJ,2025,0.01
Dakar,RES_Wind_Onshore_Inf,None,Levelized Costs [Generation],MEUR/PJ,2025,0.01
Diourbel,RES_Wind_Onshore_Inf,None,Levelized Costs [Generation],MEUR/PJ,2025,0.01
Thies,RES_Wind_Onshore_Inf,None,Levelized Costs [Generation],MEUR/PJ,2025,0.01
LS,RES_Wind_Onshore_Inf,None,Levelized Costs [Generation],MEUR/PJ,2025,0.01
FKK,RES_Wind_Onshore_Inf,None,Levelized Costs [Generation],MEUR/PJ,2025,0.01
ZS,RES_Wind_Onshore_Inf,None,Levelized Costs [Generation],MEUR/PJ,2025,0.01
MTKK,RES_Wind_Onshore_Inf,None,Levelized Costs [Generation],MEUR/PJ,2025,0.01
Dakar,RES_Hydro_Large,None,Levelized Costs [Generation],MEUR/PJ,2025,0.833333334
Diourbel,RES_Hydro_Large,None,Levelized Costs [Generation],MEUR/PJ,2025,0.833333334
Thies,RES_Hydro_Large,None,Levelized Costs [Generation],MEUR/PJ,2025,0.833333334
LS,RES_Hydro_Large,None,Levelized Costs [Generation],MEUR/PJ,2025,0.833333334
FKK,RES_Hydro_Large,None,Levelized Costs [Generation],MEUR/PJ,2025,0.833333334
ZS,RES_Hydro_Large,None,Levelized Costs [Generation],MEUR/PJ,2025,0.833333334
MTKK,RES_Hydro_Large,None,Levelized Costs [Generation],MEUR/PJ,2025,0.833333334
Dakar,RES_PV_Utility_Opt,None,Levelized Costs [Generation],MEUR/PJ,2025,0.01
Diourbel,RES_PV_Utility_Opt,None,Levelized Costs [Generation],MEUR/PJ,2025,0.01
Thies,RES_PV_Utility_Opt,None,Levelized Costs [Generation],MEUR/PJ,2025,0.01
LS,RES_PV_Utility_Opt,None,Levelized Costs [Generation],MEUR/PJ,2025,0.01
FKK,RES_PV_Utility_Opt,None,Levelized Costs [Generation],MEUR/PJ,2025,0.01
ZS,RES_PV_Utility_Opt,None,Levelized Costs [Generation],MEUR/PJ,2025,0.01
MTKK,RES_PV_Utility_Opt,None,Levelized Costs [Generation],MEUR/PJ,2025,0.01
Dakar,RES_Wind_Onshore_Opt,None,Levelized Costs [Generation],MEUR/PJ,2025,0.006388889
Diourbel,RES_Wind_Onshore_Opt,None,Levelized Costs [Generation],MEUR/PJ,2025,0.006388889
Thies,RES_Wind_Onshore_Opt,None,Levelized Costs [Generation],MEUR/PJ,2025,0.006388889
LS,RES_Wind_Onshore_Opt,None,Levelized Costs [Generation],MEUR/PJ,2025,0.006388889
FKK,RES_Wind_Onshore_Opt,None,Levelized Costs [Generation],MEUR/PJ,2025,0.006388889
ZS,RES_Wind_Onshore_Opt,None,Levelized Costs [Generation],MEUR/PJ,2025,0.006388889
MTKK,RES_Wind_Onshore_Opt,None,Levelized Costs [Generation],MEUR/PJ,2025,0.006388889
Dakar,RES_CSP,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
Diourbel,RES_CSP,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
Thies,RES_CSP,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
LS,RES_CSP,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
FKK,RES_CSP,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
ZS,RES_CSP,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
MTKK,RES_CSP,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
Dakar,RES_Geothermal,None,Levelized Costs [Generation],MEUR/PJ,2030,0.036111111
Diourbel,RES_Geothermal,None,Levelized Costs [Generation],MEUR/PJ,2030,0.036111111
Thies,RES_Geothermal,None,Levelized Costs [Generation],MEUR/PJ,2030,0.036111111
LS,RES_Geothermal,None,Levelized Costs [Generation],MEUR/PJ,2030,0.036111111
FKK,RES_Geothermal,None,Levelized Costs [Generation],MEUR/PJ,2030,0.036111111
ZS,RES_Geothermal,None,Levelized Costs [Generation],MEUR/PJ,2030,0.036111111
MTKK,RES_Geothermal,None,Levelized Costs [Generation],MEUR/PJ,2030,0.036111111
MTKK,RES_Hydro_Small,None,Levelized Costs [Generation],MEUR/PJ,2030,1.388888889
Dakar,RES_Ocean,None,Levelized Costs [Generation],MEUR/PJ,2030,0.02890249
Diourbel,RES_Ocean,None,Levelized Costs [Generation],MEUR/PJ,2030,0.02890249
Thies,RES_Ocean,None,Levelized Costs [Generation],MEUR/PJ,2030,0.02890249
LS,RES_Ocean,None,Levelized Costs [Generation],MEUR/PJ,2030,0.02890249
FKK,RES_Ocean,None,Levelized Costs [Generation],MEUR/PJ,2030,0.02890249
ZS,RES_Ocean,None,Levelized Costs [Generation],MEUR/PJ,2030,0.02890249
MTKK,RES_Ocean,None,Levelized Costs [Generation],MEUR/PJ,2030,0.02890249
Dakar,RES_PV_Utility_Avg,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
Diourbel,RES_PV_Utility_Avg,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
Thies,RES_PV_Utility_Avg,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
LS,RES_PV_Utility_Avg,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
FKK,RES_PV_Utility_Avg,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
ZS,RES_PV_Utility_Avg,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
MTKK,RES_PV_Utility_Avg,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
Dakar,RES_PV_Utility_Inf,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
Diourbel,RES_PV_Utility_Inf,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
Thies,RES_PV_Utility_Inf,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
LS,RES_PV_Utility_Inf,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
FKK,RES_PV_Utility_Inf,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
ZS,RES_PV_Utility_Inf,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
MTKK,RES_PV_Utility_Inf,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
Dakar,RES_PV_Utility_Tracking,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
Diourbel,RES_PV_Utility_Tracking,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
Thies,RES_PV_Utility_Tracking,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
LS,RES_PV_Utility_Tracking,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
FKK,RES_PV_Utility_Tracking,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
ZS,RES_PV_Utility_Tracking,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
MTKK,RES_PV_Utility_Tracking,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
Dakar,RES_Wind_Offshore_Deep,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
Thies,RES_Wind_Offshore_Deep,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
LS,RES_Wind_Offshore_Deep,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
FKK,RES_Wind_Offshore_Deep,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
ZS,RES_Wind_Offshore_Deep,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
Dakar,RES_Wind_Offshore_Shallow,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
Thies,RES_Wind_Offshore_Shallow,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
LS,RES_Wind_Offshore_Shallow,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
FKK,RES_Wind_Offshore_Shallow,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
ZS,RES_Wind_Offshore_Shallow,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
Dakar,RES_Wind_Offshore_Transitional,None,Levelized Costs [Generation],MEUR/PJ,2030,0.01
